-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2010,22.5,-109.375,0.1,0.88,0.26,0.05,0.29,0.03,0.22,0.76,1.72,0.01,0.0,0.01,0.36
PRECTOTCORR,2010,22.5,-110.0,0.1,0.94,0.19,0.02,0.3,0.01,0.19,0.57,2.11,0.0,0.0,0.0,0.36
PRECTOTCORR,2010,22.5,-110.625,0.11,0.94,0.16,0.02,0.67,0.01,0.12,0.75,1.91,0.01,0.0,0.0,0.39
PRECTOTCORR,2010,22.5,-111.25,0.09,0.7,0.1,0.04,0.84,0.01,0.08,0.61,1.09,0.01,0.01,0.0,0.3
PRECTOTCORR,2010,22.5,-111.875,0.07,0.59,0.08,0.05,0.85,0.01,0.08,0.53,0.74,0.01,0.01,0.0,0.25
PRECTOTCORR,2010,22.5,-112.5,0.1,0.83,0.13,0.09,0.95,0.02,0.12,0.79,0.45,0.02,0.02,0.04,0.29
PRECTOTCORR,2010,22.5,-113.125,0.13,1.1,0.26,0.18,0.72,0.02,0.14,0.92,0.49,0.04,0.06,0.09,0.34
PRECTOTCORR,2010,22.5,-113.75,0.12,1.08,0.29,0.22,0.43,0.02,0.14,0.84,0.43,0.04,0.09,0.1,0.31
PRECTOTCORR,2010,22.5,-114.375,0.1,1.08,0.37,0.26,0.18,0.03,0.17,0.65,0.46,0.04,0.14,0.14,0.3
PRECTOTCORR,2010,22.5,-115.0,0.07,1.34,0.5,0.23,0.04,0.03,0.13,0.79,0.61,0.03,0.18,0.2,0.34
PRECTOTCORR,2010,22.5,-115.625,0.05,1.36,0.51,0.25,0.02,0.02,0.08,1.01,0.61,0.03,0.19,0.24,0.36
PRECTOTCORR,2010,23.0,-109.375,0.04,0.66,0.08,0.01,0.08,0.01,0.1,0.53,1.45,0.02,0.0,0.0,0.24
PRECTOTCORR,2010,23.0,-110.0,0.07,0.89,0.05,0.0,0.05,0.0,0.09,0.37,2.33,0.01,0.0,0.0,0.31
PRECTOTCORR,2010,23.0,-110.625,0.08,0.9,0.02,0.0,0.11,0.0,0.03,0.72,0.81,0.0,0.0,0.0,0.22
PRECTOTCORR,2010,23.0,-111.25,0.04,0.58,0.01,0.0,0.06,0.0,0.01,0.57,0.31,0.0,0.0,0.0,0.13
PRECTOTCORR,2010,23.0,-111.875,0.03,0.46,0.01,0.0,0.03,0.0,0.0,0.52,0.03,0.0,0.0,0.0,0.09
PRECTOTCORR,2010,23.0,-112.5,0.05,0.97,0.15,0.03,0.24,0.01,0.03,0.62,0.27,0.02,0.01,0.06,0.2
PRECTOTCORR,2010,23.0,-113.125,0.04,1.36,0.37,0.14,0.23,0.01,0.08,0.61,0.36,0.04,0.07,0.12,0.28
PRECTOTCORR,2010,23.0,-113.75,0.04,1.26,0.43,0.2,0.08,0.01,0.09,0.49,0.31,0.04,0.1,0.13,0.26
PRECTOTCORR,2010,23.0,-114.375,0.04,1.29,0.53,0.23,0.02,0.02,0.1,0.38,0.4,0.04,0.16,0.16,0.27
PRECTOTCORR,2010,23.0,-115.0,0.04,1.43,0.52,0.18,0.01,0.02,0.08,0.51,0.52,0.03,0.2,0.22,0.31
PRECTOTCORR,2010,23.0,-115.625,0.05,1.35,0.42,0.26,0.01,0.02,0.07,0.6,0.5,0.03,0.22,0.3,0.31
PRECTOTCORR,2010,23.5,-109.375,0.04,0.71,0.04,0.0,0.0,0.01,0.09,0.49,1.94,0.03,0.0,0.0,0.27
PRECTOTCORR,2010,23.5,-110.0,0.09,0.86,0.04,0.0,0.0,0.0,0.04,0.25,3.17,0.01,0.0,0.0,0.36
PRECTOTCORR,2010,23.5,-110.625,0.14,0.84,0.03,0.0,0.0,0.0,0.01,0.31,2.93,0.0,0.0,0.0,0.35
PRECTOTCORR,2010,23.5,-111.25,0.04,0.46,0.01,0.0,0.0,0.0,0.0,0.44,0.63,0.0,0.0,0.0,0.13
PRECTOTCORR,2010,23.5,-111.875,0.02,0.35,0.01,0.0,0.0,0.0,0.0,0.45,0.03,0.0,0.0,0.0,0.07
PRECTOTCORR,2010,23.5,-112.5,0.03,0.75,0.19,0.03,0.02,0.0,0.02,0.34,0.13,0.02,0.01,0.06,0.13
PRECTOTCORR,2010,23.5,-113.125,0.02,1.11,0.44,0.12,0.03,0.01,0.06,0.25,0.25,0.03,0.06,0.12,0.2
PRECTOTCORR,2010,23.5,-113.75,0.03,1.09,0.51,0.17,0.02,0.01,0.07,0.2,0.25,0.03,0.09,0.13,0.21
PRECTOTCORR,2010,23.5,-114.375,0.03,1.14,0.55,0.18,0.02,0.01,0.07,0.17,0.33,0.03,0.17,0.16,0.23
PRECTOTCORR,2010,23.5,-115.0,0.04,1.15,0.43,0.13,0.03,0.02,0.06,0.2,0.38,0.02,0.23,0.21,0.23
PRECTOTCORR,2010,23.5,-115.625,0.05,1.19,0.34,0.24,0.02,0.03,0.05,0.22,0.4,0.03,0.21,0.33,0.25
PRECTOTCORR,2010,24.0,-109.375,0.03,0.71,0.03,0.0,0.0,0.01,0.12,0.65,1.65,0.05,0.0,0.0,0.27
PRECTOTCORR,2010,24.0,-110.0,0.08,0.73,0.04,0.0,0.0,0.0,0.02,0.28,2.69,0.02,0.0,0.0,0.31
PRECTOTCORR,2010,24.0,-110.625,0.14,0.7,0.03,0.0,0.0,0.0,0.0,0.24,2.65,0.01,0.0,0.0,0.31
PRECTOTCORR,2010,24.0,-111.25,0.2,0.55,0.02,0.0,0.0,0.0,0.0,0.41,1.46,0.0,0.0,0.0,0.22
PRECTOTCORR,2010,24.0,-111.875,0.16,0.45,0.02,0.0,0.0,0.0,0.0,0.37,0.92,0.0,0.0,0.0,0.16
PRECTOTCORR,2010,24.0,-112.5,0.02,0.57,0.24,0.02,0.01,0.0,0.03,0.23,0.12,0.02,0.01,0.06,0.11
PRECTOTCORR,2010,24.0,-113.125,0.03,0.87,0.45,0.08,0.03,0.02,0.06,0.19,0.18,0.03,0.05,0.11,0.17
PRECTOTCORR,2010,24.0,-113.75,0.04,0.91,0.49,0.12,0.03,0.02,0.06,0.17,0.21,0.03,0.09,0.12,0.19
PRECTOTCORR,2010,24.0,-114.375,0.05,0.88,0.48,0.13,0.05,0.02,0.06,0.16,0.25,0.03,0.18,0.15,0.2
PRECTOTCORR,2010,24.0,-115.0,0.04,0.93,0.39,0.11,0.06,0.02,0.05,0.17,0.25,0.02,0.23,0.23,0.2
PRECTOTCORR,2010,24.0,-115.625,0.04,1.12,0.32,0.2,0.04,0.03,0.03,0.19,0.26,0.03,0.17,0.36,0.23
PRECTOTCORR,2010,24.5,-109.375,0.04,0.7,0.02,0.01,0.0,0.01,0.34,0.94,1.64,0.06,0.0,0.0,0.31
PRECTOTCORR,2010,24.5,-110.0,0.07,0.65,0.03,0.0,0.0,0.0,0.03,0.32,1.87,0.02,0.0,0.0,0.24
PRECTOTCORR,2010,24.5,-110.625,0.14,0.59,0.02,0.0,0.0,0.0,0.0,0.3,1.71,0.0,0.0,0.0,0.22
PRECTOTCORR,2010,24.5,-111.25,0.23,0.54,0.01,0.0,0.0,0.0,0.0,0.49,1.2,0.0,0.0,0.0,0.2
PRECTOTCORR,2010,24.5,-111.875,0.26,0.53,0.02,0.0,0.0,0.0,0.0,0.55,0.98,0.0,0.0,0.0,0.19
PRECTOTCORR,2010,24.5,-112.5,0.13,0.67,0.23,0.02,0.01,0.0,0.02,0.34,0.4,0.02,0.02,0.04,0.15
PRECTOTCORR,2010,24.5,-113.125,0.02,0.87,0.4,0.05,0.03,0.02,0.04,0.17,0.13,0.02,0.07,0.09,0.15
PRECTOTCORR,2010,24.5,-113.75,0.04,0.92,0.4,0.07,0.04,0.02,0.05,0.18,0.14,0.02,0.09,0.1,0.17
PRECTOTCORR,2010,24.5,-114.375,0.04,0.94,0.43,0.09,0.07,0.02,0.05,0.14,0.15,0.02,0.16,0.14,0.18
PRECTOTCORR,2010,24.5,-115.0,0.06,1.02,0.38,0.1,0.07,0.03,0.04,0.21,0.16,0.02,0.18,0.27,0.21
PRECTOTCORR,2010,24.5,-115.625,0.05,1.13,0.3,0.14,0.06,0.03,0.02,0.26,0.12,0.03,0.12,0.4,0.22
PRECTOTCORR,2010,25.0,-109.375,0.07,0.68,0.02,0.02,0.0,0.0,0.81,1.2,2.2,0.07,0.0,0.0,0.42
PRECTOTCORR,2010,25.0,-110.0,0.06,0.61,0.01,0.0,0.0,0.0,0.12,0.42,1.07,0.02,0.0,0.0,0.19
PRECTOTCORR,2010,25.0,-110.625,0.14,0.54,0.01,0.0,0.0,0.0,0.01,0.38,1.13,0.0,0.0,0.0,0.18
PRECTOTCORR,2010,25.0,-111.25,0.24,0.52,0.01,0.0,0.0,0.0,0.0,0.55,0.91,0.0,0.0,0.0,0.18
PRECTOTCORR,2010,25.0,-111.875,0.27,0.56,0.01,0.0,0.0,0.0,0.0,0.59,0.84,0.0,0.0,0.0,0.19
PRECTOTCORR,2010,25.0,-112.5,0.14,1.24,0.1,0.01,0.01,0.0,0.01,0.31,0.39,0.01,0.01,0.02,0.18
PRECTOTCORR,2010,25.0,-113.125,0.04,1.41,0.21,0.03,0.02,0.01,0.01,0.09,0.07,0.01,0.04,0.05,0.16
PRECTOTCORR,2010,25.0,-113.75,0.04,1.24,0.23,0.04,0.02,0.01,0.02,0.09,0.06,0.01,0.05,0.06,0.15
PRECTOTCORR,2010,25.0,-114.375,0.06,1.19,0.28,0.06,0.05,0.02,0.02,0.06,0.08,0.01,0.09,0.1,0.16
PRECTOTCORR,2010,25.0,-115.0,0.1,1.02,0.25,0.09,0.04,0.02,0.03,0.13,0.07,0.02,0.1,0.29,0.17
PRECTOTCORR,2010,25.0,-115.625,0.08,0.92,0.23,0.13,0.04,0.03,0.02,0.16,0.05,0.04,0.09,0.48,0.18
PRECTOTCORR,2010,25.5,-109.375,0.21,0.77,0.02,0.03,0.0,0.01,1.79,1.43,3.39,0.11,0.0,0.01,0.64
PRECTOTCORR,2010,25.5,-110.0,0.11,0.82,0.01,0.0,0.0,0.0,0.4,0.54,1.23,0.03,0.0,0.0,0.26
PRECTOTCORR,2010,25.5,-110.625,0.08,0.57,0.0,0.0,0.0,0.0,0.0,0.33,0.53,0.0,0.0,0.0,0.12
PRECTOTCORR,2010,25.5,-111.25,0.15,0.46,0.0,0.0,0.0,0.0,0.0,0.45,0.87,0.01,0.0,0.0,0.16
PRECTOTCORR,2010,25.5,-111.875,0.17,0.48,0.0,0.0,0.0,0.0,0.0,0.46,0.94,0.01,0.0,0.0,0.17
PRECTOTCORR,2010,25.5,-112.5,0.13,1.24,0.01,0.0,0.0,0.0,0.0,0.22,0.45,0.02,0.0,0.0,0.16
PRECTOTCORR,2010,25.5,-113.125,0.06,1.35,0.04,0.01,0.0,0.0,0.0,0.03,0.05,0.01,0.01,0.01,0.12
PRECTOTCORR,2010,25.5,-113.75,0.05,1.19,0.06,0.01,0.0,0.0,0.0,0.02,0.01,0.0,0.01,0.01,0.11
PRECTOTCORR,2010,25.5,-114.375,0.1,1.0,0.08,0.03,0.01,0.0,0.0,0.01,0.01,0.0,0.02,0.03,0.1
PRECTOTCORR,2010,25.5,-115.0,0.14,0.68,0.09,0.07,0.01,0.01,0.01,0.05,0.02,0.02,0.05,0.27,0.11
PRECTOTCORR,2010,25.5,-115.625,0.09,0.57,0.13,0.13,0.02,0.02,0.02,0.12,0.03,0.05,0.08,0.52,0.15
PRECTOTCORR,2010,26.0,-109.375,0.51,0.93,0.06,0.06,0.0,0.06,2.56,1.65,3.88,0.21,0.0,0.02,0.83
PRECTOTCORR,2010,26.0,-110.0,0.23,1.31,0.02,0.02,0.0,0.02,0.59,0.71,1.47,0.06,0.0,0.01,0.36
PRECTOTCORR,2010,26.0,-110.625,0.09,0.97,0.0,0.0,0.0,0.0,0.01,0.32,0.48,0.01,0.0,0.0,0.15
PRECTOTCORR,2010,26.0,-111.25,0.07,0.51,0.0,0.0,0.0,0.0,0.0,0.3,0.95,0.03,0.0,0.0,0.15
PRECTOTCORR,2010,26.0,-111.875,0.08,0.37,0.0,0.0,0.0,0.0,0.0,0.29,1.01,0.05,0.0,0.0,0.15
PRECTOTCORR,2010,26.0,-112.5,0.13,0.65,0.0,0.0,0.0,0.0,0.0,0.18,0.75,0.08,0.0,0.0,0.14
PRECTOTCORR,2010,26.0,-113.125,0.11,0.92,0.01,0.0,0.0,0.0,0.0,0.03,0.2,0.04,0.0,0.01,0.1
PRECTOTCORR,2010,26.0,-113.75,0.11,0.87,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.0,0.01,0.08
PRECTOTCORR,2010,26.0,-114.375,0.15,0.67,0.01,0.01,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.01,0.07
PRECTOTCORR,2010,26.0,-115.0,0.15,0.51,0.05,0.07,0.01,0.01,0.02,0.03,0.01,0.02,0.05,0.24,0.09
PRECTOTCORR,2010,26.0,-115.625,0.08,0.42,0.11,0.14,0.02,0.02,0.02,0.09,0.03,0.05,0.1,0.5,0.13
PRECTOTCORR,2010,26.5,-109.375,0.97,1.13,0.14,0.17,0.0,0.19,3.09,2.07,3.67,0.28,0.0,0.02,0.98
PRECTOTCORR,2010,26.5,-110.0,0.42,1.76,0.05,0.06,0.0,0.06,0.85,1.04,1.58,0.1,0.0,0.01,0.48
PRECTOTCORR,2010,26.5,-110.625,0.14,2.1,0.0,0.0,0.0,0.0,0.05,0.44,0.6,0.01,0.0,0.0,0.26
PRECTOTCORR,2010,26.5,-111.25,0.12,0.6,0.0,0.0,0.0,0.0,0.01,0.3,0.31,0.0,0.0,0.0,0.11
PRECTOTCORR,2010,26.5,-111.875,0.11,0.39,0.0,0.0,0.0,0.0,0.0,0.23,0.51,0.05,0.0,0.0,0.1
PRECTOTCORR,2010,26.5,-112.5,0.17,0.5,0.02,0.0,0.0,0.0,0.0,0.1,0.84,0.14,0.0,0.02,0.15
PRECTOTCORR,2010,26.5,-113.125,0.24,0.58,0.05,0.0,0.0,0.0,0.0,0.03,0.35,0.09,0.0,0.04,0.11
PRECTOTCORR,2010,26.5,-113.75,0.22,0.61,0.04,0.0,0.0,0.0,0.0,0.0,0.13,0.05,0.0,0.04,0.09
PRECTOTCORR,2010,26.5,-114.375,0.18,0.57,0.02,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.0,0.01,0.07
PRECTOTCORR,2010,26.5,-115.0,0.13,0.52,0.06,0.08,0.01,0.01,0.03,0.03,0.02,0.02,0.06,0.23,0.1
PRECTOTCORR,2010,26.5,-115.625,0.08,0.42,0.12,0.2,0.03,0.02,0.05,0.07,0.04,0.05,0.12,0.5,0.14
PRECTOTCORR,2010,27.0,-109.375,1.25,1.09,0.16,0.21,0.0,0.24,3.44,2.84,3.84,0.22,0.0,0.03,1.11
PRECTOTCORR,2010,27.0,-110.0,0.6,1.46,0.05,0.07,0.0,0.06,1.29,1.61,2.06,0.11,0.0,0.01,0.6
PRECTOTCORR,2010,27.0,-110.625,0.22,2.41,0.0,0.0,0.0,0.0,0.29,0.78,0.83,0.02,0.0,0.0,0.36
PRECTOTCORR,2010,27.0,-111.25,0.11,2.01,0.0,0.0,0.0,0.0,0.05,0.28,0.39,0.0,0.0,0.0,0.22
PRECTOTCORR,2010,27.0,-111.875,0.1,1.39,0.0,0.0,0.0,0.0,0.01,0.14,0.59,0.05,0.0,0.0,0.18
PRECTOTCORR,2010,27.0,-112.5,0.22,0.49,0.03,0.0,0.0,0.0,0.01,0.04,0.85,0.13,0.0,0.03,0.15
PRECTOTCORR,2010,27.0,-113.125,0.37,0.46,0.08,0.0,0.0,0.0,0.0,0.01,0.39,0.11,0.0,0.07,0.12
PRECTOTCORR,2010,27.0,-113.75,0.35,0.48,0.08,0.0,0.0,0.0,0.0,0.0,0.15,0.08,0.0,0.07,0.1
PRECTOTCORR,2010,27.0,-114.375,0.28,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.04,0.08
PRECTOTCORR,2010,27.0,-115.0,0.19,0.48,0.08,0.1,0.02,0.01,0.02,0.03,0.02,0.06,0.06,0.24,0.11
PRECTOTCORR,2010,27.0,-115.625,0.09,0.44,0.12,0.26,0.05,0.01,0.04,0.08,0.07,0.05,0.11,0.5,0.15
PRECTOTCORR,2010,27.5,-109.375,1.44,0.95,0.13,0.16,0.0,0.22,4.08,4.07,4.79,0.14,0.0,0.07,1.34
PRECTOTCORR,2010,27.5,-110.0,1.03,0.97,0.07,0.07,0.0,0.06,2.31,2.73,4.19,0.11,0.0,0.04,0.96
PRECTOTCORR,2010,27.5,-110.625,0.76,1.14,0.03,0.02,0.01,0.02,1.41,2.05,3.1,0.11,0.0,0.01,0.72
PRECTOTCORR,2010,27.5,-111.25,0.78,1.01,0.03,0.01,0.01,0.02,1.41,2.16,3.24,0.12,0.0,0.01,0.73
PRECTOTCORR,2010,27.5,-111.875,0.22,1.16,0.01,0.0,0.0,0.0,0.15,0.28,0.96,0.04,0.0,0.01,0.23
PRECTOTCORR,2010,27.5,-112.5,0.31,0.45,0.05,0.0,0.0,0.0,0.03,0.04,0.83,0.08,0.0,0.06,0.15
PRECTOTCORR,2010,27.5,-113.125,0.55,0.48,0.13,0.0,0.0,0.0,0.0,0.01,0.4,0.13,0.0,0.13,0.15
PRECTOTCORR,2010,27.5,-113.75,0.58,0.48,0.14,0.0,0.0,0.0,0.0,0.0,0.17,0.15,0.0,0.13,0.14
PRECTOTCORR,2010,27.5,-114.375,0.58,0.49,0.13,0.0,0.0,0.0,0.0,0.0,0.08,0.19,0.0,0.11,0.13
PRECTOTCORR,2010,27.5,-115.0,0.4,0.42,0.11,0.1,0.02,0.0,0.02,0.03,0.03,0.15,0.03,0.21,0.13
PRECTOTCORR,2010,27.5,-115.625,0.18,0.37,0.1,0.25,0.03,0.01,0.03,0.08,0.05,0.07,0.06,0.33,0.13
PRECTOTCORR,2010,28.0,-109.375,1.94,1.12,0.13,0.16,0.01,0.33,5.15,5.07,5.11,0.21,0.0,0.11,1.62
PRECTOTCORR,2010,28.0,-110.0,1.36,1.12,0.05,0.05,0.0,0.07,3.26,3.3,4.12,0.25,0.0,0.06,1.14
PRECTOTCORR,2010,28.0,-110.625,0.97,1.17,0.01,0.01,0.0,0.01,2.17,2.42,2.71,0.2,0.0,0.02,0.81
PRECTOTCORR,2010,28.0,-111.25,0.92,1.21,0.01,0.0,0.0,0.0,1.99,2.31,2.43,0.19,0.0,0.01,0.75
PRECTOTCORR,2010,28.0,-111.875,0.6,0.82,0.01,0.0,0.0,0.0,1.16,1.35,1.22,0.12,0.0,0.01,0.44
PRECTOTCORR,2010,28.0,-112.5,0.44,0.5,0.07,0.0,0.0,0.0,0.27,0.23,0.81,0.08,0.0,0.07,0.2
PRECTOTCORR,2010,28.0,-113.125,0.64,0.5,0.15,0.0,0.0,0.0,0.03,0.03,0.41,0.16,0.0,0.15,0.17
PRECTOTCORR,2010,28.0,-113.75,0.73,0.53,0.18,0.0,0.0,0.0,0.0,0.0,0.2,0.23,0.0,0.17,0.17
PRECTOTCORR,2010,28.0,-114.375,0.64,0.41,0.13,0.01,0.0,0.0,0.01,0.0,0.11,0.22,0.0,0.11,0.14
PRECTOTCORR,2010,28.0,-115.0,0.55,0.37,0.11,0.03,0.0,0.0,0.01,0.01,0.03,0.21,0.01,0.11,0.12
PRECTOTCORR,2010,28.0,-115.625,0.53,0.39,0.11,0.06,0.0,0.0,0.0,0.01,0.0,0.2,0.01,0.1,0.12
PRECTOTCORR,2011,22.5,-109.375,0.5,0.03,0.04,0.02,0.04,0.02,1.03,1.73,0.81,0.2,0.82,0.16,0.45
PRECTOTCORR,2011,22.5,-110.0,0.33,0.03,0.03,0.02,0.04,0.01,0.36,0.99,0.6,0.1,0.66,0.16,0.28
PRECTOTCORR,2011,22.5,-110.625,0.44,0.06,0.05,0.05,0.07,0.01,0.26,0.84,0.39,0.04,0.72,0.17,0.26
PRECTOTCORR,2011,22.5,-111.25,0.51,0.07,0.05,0.06,0.06,0.02,0.23,0.57,0.14,0.02,0.65,0.23,0.22
PRECTOTCORR,2011,22.5,-111.875,0.56,0.07,0.05,0.07,0.06,0.03,0.2,0.45,0.11,0.01,0.68,0.29,0.22
PRECTOTCORR,2011,22.5,-112.5,0.57,0.09,0.04,0.11,0.08,0.05,0.25,0.42,0.34,0.01,0.81,0.5,0.27
PRECTOTCORR,2011,22.5,-113.125,0.63,0.16,0.04,0.15,0.11,0.04,0.28,0.33,0.44,0.02,0.74,0.82,0.31
PRECTOTCORR,2011,22.5,-113.75,0.76,0.18,0.03,0.18,0.14,0.04,0.27,0.24,0.38,0.02,0.79,0.9,0.33
PRECTOTCORR,2011,22.5,-114.375,0.93,0.21,0.05,0.24,0.15,0.05,0.28,0.26,0.38,0.02,0.89,1.01,0.37
PRECTOTCORR,2011,22.5,-115.0,0.73,0.21,0.06,0.18,0.12,0.04,0.22,0.24,0.51,0.03,0.97,1.3,0.39
PRECTOTCORR,2011,22.5,-115.625,0.69,0.2,0.05,0.1,0.07,0.03,0.16,0.24,0.56,0.03,0.87,1.63,0.39
PRECTOTCORR,2011,23.0,-109.375,0.12,0.01,0.01,0.01,0.01,0.0,0.57,1.26,0.55,0.11,1.17,0.08,0.33
PRECTOTCORR,2011,23.0,-110.0,0.04,0.0,0.0,0.01,0.01,0.0,0.21,0.67,0.6,0.09,0.79,0.11,0.21
PRECTOTCORR,2011,23.0,-110.625,0.09,0.01,0.01,0.01,0.01,0.0,0.07,0.46,0.18,0.02,1.15,0.04,0.17
PRECTOTCORR,2011,23.0,-111.25,0.1,0.01,0.0,0.01,0.0,0.0,0.05,0.29,0.06,0.01,1.16,0.03,0.14
PRECTOTCORR,2011,23.0,-111.875,0.1,0.0,0.0,0.0,0.0,0.0,0.01,0.21,0.02,0.0,1.59,0.02,0.16
PRECTOTCORR,2011,23.0,-112.5,0.17,0.04,0.01,0.05,0.03,0.01,0.12,0.3,0.24,0.0,1.85,0.28,0.26
PRECTOTCORR,2011,23.0,-113.125,0.28,0.1,0.01,0.11,0.06,0.02,0.19,0.28,0.36,0.01,0.88,0.74,0.25
PRECTOTCORR,2011,23.0,-113.75,0.38,0.12,0.01,0.13,0.08,0.03,0.19,0.21,0.32,0.01,0.71,0.89,0.26
PRECTOTCORR,2011,23.0,-114.375,0.55,0.13,0.03,0.17,0.11,0.03,0.19,0.21,0.36,0.02,0.71,0.91,0.29
PRECTOTCORR,2011,23.0,-115.0,0.59,0.14,0.04,0.14,0.11,0.03,0.17,0.18,0.48,0.02,0.76,1.06,0.31
PRECTOTCORR,2011,23.0,-115.625,0.63,0.14,0.02,0.1,0.09,0.02,0.13,0.22,0.55,0.03,0.65,1.29,0.32
PRECTOTCORR,2011,23.5,-109.375,0.02,0.0,0.0,0.0,0.02,0.0,0.45,1.19,0.74,0.12,1.14,0.11,0.32
PRECTOTCORR,2011,23.5,-110.0,0.01,0.0,0.0,0.01,0.01,0.0,0.33,0.78,0.95,0.14,0.73,0.17,0.26
PRECTOTCORR,2011,23.5,-110.625,0.01,0.0,0.0,0.03,0.0,0.0,0.34,0.56,0.73,0.08,0.95,0.17,0.24
PRECTOTCORR,2011,23.5,-111.25,0.05,0.0,0.0,0.01,0.0,0.0,0.09,0.3,0.15,0.02,1.99,0.04,0.22
PRECTOTCORR,2011,23.5,-111.875,0.06,0.0,0.0,0.0,0.0,0.0,0.01,0.19,0.01,0.0,2.98,0.02,0.27
PRECTOTCORR,2011,23.5,-112.5,0.07,0.03,0.0,0.04,0.03,0.0,0.07,0.19,0.09,0.0,2.93,0.28,0.31
PRECTOTCORR,2011,23.5,-113.125,0.18,0.07,0.01,0.09,0.06,0.01,0.11,0.22,0.18,0.0,0.96,0.64,0.21
PRECTOTCORR,2011,23.5,-113.75,0.24,0.08,0.01,0.1,0.07,0.02,0.11,0.18,0.19,0.0,0.6,0.74,0.2
PRECTOTCORR,2011,23.5,-114.375,0.53,0.11,0.03,0.14,0.1,0.02,0.12,0.16,0.25,0.01,0.52,0.65,0.22
PRECTOTCORR,2011,23.5,-115.0,0.83,0.14,0.04,0.14,0.13,0.02,0.11,0.13,0.35,0.01,0.42,0.77,0.26
PRECTOTCORR,2011,23.5,-115.625,0.72,0.12,0.02,0.08,0.16,0.02,0.08,0.15,0.41,0.03,0.31,0.89,0.25
PRECTOTCORR,2011,24.0,-109.375,0.07,0.0,0.0,0.0,0.01,0.0,0.66,1.34,0.59,0.09,1.53,0.1,0.37
PRECTOTCORR,2011,24.0,-110.0,0.02,0.0,0.0,0.02,0.01,0.0,0.42,0.87,0.85,0.11,0.85,0.25,0.28
PRECTOTCORR,2011,24.0,-110.625,0.0,0.0,0.0,0.04,0.0,0.0,0.39,0.61,0.72,0.08,0.83,0.29,0.25
PRECTOTCORR,2011,24.0,-111.25,0.0,0.0,0.0,0.07,0.0,0.0,0.21,0.39,0.32,0.05,1.1,0.3,0.2
PRECTOTCORR,2011,24.0,-111.875,0.02,0.0,0.0,0.05,0.0,0.0,0.13,0.27,0.19,0.03,2.52,0.23,0.28
PRECTOTCORR,2011,24.0,-112.5,0.08,0.02,0.01,0.04,0.02,0.0,0.05,0.13,0.03,0.0,3.3,0.28,0.33
PRECTOTCORR,2011,24.0,-113.125,0.19,0.05,0.02,0.07,0.06,0.01,0.07,0.17,0.08,0.0,0.87,0.57,0.18
PRECTOTCORR,2011,24.0,-113.75,0.26,0.06,0.03,0.09,0.07,0.01,0.07,0.16,0.09,0.0,0.45,0.6,0.16
PRECTOTCORR,2011,24.0,-114.375,0.86,0.11,0.05,0.14,0.16,0.02,0.08,0.14,0.14,0.0,0.35,0.55,0.22
PRECTOTCORR,2011,24.0,-115.0,1.42,0.14,0.06,0.15,0.33,0.02,0.09,0.11,0.22,0.01,0.24,0.6,0.29
PRECTOTCORR,2011,24.0,-115.625,0.83,0.12,0.03,0.08,0.2,0.02,0.09,0.1,0.28,0.04,0.2,0.63,0.22
PRECTOTCORR,2011,24.5,-109.375,0.08,0.0,0.0,0.0,0.0,0.0,1.21,1.66,0.55,0.09,1.9,0.07,0.47
PRECTOTCORR,2011,24.5,-110.0,0.02,0.0,0.0,0.02,0.0,0.0,0.45,0.8,0.55,0.08,1.07,0.26,0.27
PRECTOTCORR,2011,24.5,-110.625,0.0,0.0,0.01,0.05,0.0,0.0,0.26,0.5,0.43,0.04,0.86,0.35,0.21
PRECTOTCORR,2011,24.5,-111.25,0.0,0.0,0.01,0.07,0.0,0.0,0.15,0.32,0.21,0.03,1.09,0.33,0.18
PRECTOTCORR,2011,24.5,-111.875,0.0,0.0,0.01,0.08,0.0,0.0,0.1,0.25,0.13,0.02,1.27,0.33,0.18
PRECTOTCORR,2011,24.5,-112.5,0.07,0.02,0.01,0.06,0.02,0.0,0.05,0.16,0.04,0.01,1.53,0.43,0.2
PRECTOTCORR,2011,24.5,-113.125,0.24,0.04,0.02,0.05,0.07,0.01,0.06,0.13,0.03,0.0,0.7,0.5,0.15
PRECTOTCORR,2011,24.5,-113.75,0.35,0.05,0.04,0.06,0.09,0.01,0.05,0.13,0.03,0.0,0.31,0.47,0.13
PRECTOTCORR,2011,24.5,-114.375,1.36,0.09,0.08,0.13,0.35,0.01,0.05,0.14,0.06,0.01,0.25,0.45,0.25
